rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,lilac/kl,lilac/loss,lilac/dec_loss,lilac/beta,lilac/risk,lilac/cp_flag,lilac/cp_cooldown,plugin/constraint_as/risk,lilac/s_env,lilac/cp_kl,lilac/s_uncert,lilac/cp_delta,plugin/constraint_as/unsafe,plugin/constraint_as/s_agent,plugin/constraint_as/raw,plugin/constraint_as/s_env
60.0,840,632,14,5.680903714285715,1,8.903671264648438,0.03000490739941597,0.0015131601830944419,0.0032,0.518499453964874,1.0,2.0,0.5,0.0,6.184972763061523,1.4806321859359741,0.09181132912635803,0.0,0.0,0.0,0.0
60.0,900,678,15,5.6211048,1,,,,,0.5189787729451734,1.0,2.0,0.5,0.0,5.001702785491943,1.5190316438674927,0.01850237138569355,0.0,0.0,0.0,0.0
60.0,960,725,16,6.1056553749999996,1,,,,,0.519436869842482,1.0,2.0,0.5,0.0,4.838992595672607,1.555733561515808,0.012389950454235077,0.0,0.0,0.0,0.0
60.0,1020,769,17,6.083940823529411,1,5.34188985824585,0.021597271785140038,0.00022971058206167072,0.004,0.5062129931662981,0.0,1.0,0.5,0.0,3.813218593597412,0.4970650374889374,0.06440719962120056,0.0,0.0,0.0,0.0
60.0,1080,817,18,6.0117344444444445,1,,,,,0.5071177084820836,1.0,2.0,0.5,0.0,110.63835906982422,0.5694551467895508,0.0019141228403896093,0.0,0.0,0.0,0.0
60.0,1140,863,19,6.047708315789474,1,,,,,0.5081087669039385,1.0,2.0,0.5,0.0,77.08370971679688,0.6487582325935364,0.0021700276993215084,0.0,0.0,0.0,0.0
60.0,1200,908,20,5.79476395,1,62.807716369628906,0.3019207715988159,0.00044371368130669,0.0048000000000000004,0.5091923145137799,1.0,2.0,0.5,0.0,59.695594787597656,0.7354680299758911,0.003167737741023302,0.0,0.0,0.0,0.0
60.0,1260,954,21,6.204921761904762,1,,,,,0.5103222670222939,1.0,2.0,0.5,0.0,40.24969482421875,0.8258987069129944,0.06427978724241257,0.0,0.0,0.0,0.0
60.0,1320,1001,22,6.444092,1,,,,,0.5115219546838329,1.0,2.0,0.5,0.0,32.66375732421875,0.921919584274292,0.005006636958569288,0.0,0.0,0.0,0.0
60.0,1380,1046,23,6.330097652173913,1,,,,,0.512700312275892,1.0,2.0,0.5,0.0,22.508623123168945,1.016243577003479,0.0085739241912961,0.0,0.0,0.0,0.0
60.0,1440,1092,24,6.427479375,1,31.807357788085938,0.17899519205093384,0.000873990822583437,0.005600000000000001,0.5138944606600683,1.0,2.0,0.5,0.0,18.495952606201172,1.1118431091308594,0.08144805580377579,0.0,0.0,0.0,0.0
60.0,1500,1136,25,6.170380199999999,1,,,,,0.5149663995743948,1.0,2.0,0.5,0.0,12.901723861694336,1.1976697444915771,0.011633352376520634,0.0,0.0,0.0,0.0
60.0,1560,1181,26,6.191177538461537,1,,,,,0.5160176821511898,1.0,2.0,0.5,0.0,11.231597900390625,1.281853199005127,0.00978164654225111,0.0,0.0,0.0,0.0
60.0,1620,1225,27,6.1747470370370365,1,14.209757804870605,0.09132251143455505,0.0003800640406552702,0.0064,0.516831366044246,1.0,2.0,0.5,0.0,7.797399520874023,1.3470182418823242,0.06596507877111435,0.0,0.0,0.0,0.0
60.0,1680,1272,28,6.022587714285714,1,,,,,0.5176549945403037,1.0,2.0,0.5,0.0,7.527128219604492,1.4129869937896729,0.012251267209649086,0.0,0.0,0.0,0.0
60.0,1740,1318,29,6.0485342068965515,1,,,,,0.5181632356391821,1.0,2.0,0.5,0.0,5.274790287017822,1.4536985158920288,0.02405175007879734,0.0,0.0,0.0,0.0
60.0,1800,1376,30,5.975487833333333,1,6.5695648193359375,0.04749661311507225,0.00019574424368329346,0.0072,0.5187654750668909,1.0,2.0,0.5,0.0,5.678938865661621,1.5019434690475464,0.01618947647511959,0.0,0.0,0.0,0.0
60.0,1860,1421,31,5.875305677419355,1,,,,,0.5059867761806356,0.0,1.0,0.5,0.0,3.697877883911133,0.47896498441696167,0.08337406814098358,0.0,0.0,0.0,0.0
60.0,1920,1468,32,5.691702375,1,,,,,0.5068652636400415,1.0,2.0,0.5,0.0,119.32586669921875,0.5492556095123291,0.002372028538957238,0.0,0.0,0.0,0.0
60.0,1980,1513,33,5.869934696969698,1,,,,,0.5078209383583808,1.0,2.0,0.5,0.0,77.01203918457031,0.6257261037826538,0.0032694812398403883,0.0,0.0,0.0,0.0
60.0,2040,1560,34,6.316804029411765,1,66.67859649658203,0.5335124731063843,8.36931067169644e-05,0.008,0.5088797209976524,1.0,2.0,0.5,0.0,64.39708709716797,0.7104523777961731,0.08073736727237701,0.0,0.0,0.0,0.0
60.0,2100,1607,35,6.464396485714286,1,,,,,0.5099700168192076,1.0,2.0,0.5,0.0,40.11296844482422,0.7977070808410645,0.007371591404080391,0.0,0.0,0.0,0.0
60.0,2160,1651,36,6.577510694444445,1,,,,,0.5111553750740737,1.0,2.0,0.5,0.0,35.41442108154297,0.892578125,0.0064784931018948555,0.0,0.0,0.0,0.0
60.0,2220,1699,37,6.555311405405406,1,46.6414909362793,0.41051363945007324,6.850739009678364e-05,0.0088,0.5122594948487351,1.0,2.0,0.5,0.0,20.819469451904297,0.9809561967849731,0.09060459583997726,0.0,0.0,0.0,0.0
60.0,2280,1742,38,6.535314842105263,1,,,,,0.513459697667694,1.0,2.0,0.5,0.0,20.25844955444336,1.0770360231399536,0.009937722235918045,0.0,0.0,0.0,0.0
60.0,2340,1789,39,6.588498256410257,1,,,,,0.5144119474216929,1.0,2.0,0.5,0.0,11.391332626342773,1.1532752513885498,0.01576441526412964,0.0,0.0,0.0,0.0
60.0,2400,1835,40,6.616801675,1,16.249046325683594,0.15622025728225708,0.00022940743656363338,0.009600000000000001,0.5155023909610117,1.0,2.0,0.5,0.0,12.526931762695312,1.240588903427124,0.013705090619623661,0.0,0.0,0.0,0.0
60.0,2460,1880,41,6.59575019512195,1,,,,,0.5161931384148234,1.0,2.0,0.5,0.0,7.005535125732422,1.295904278755188,0.10538345575332642,0.0,0.0,0.0,0.0
60.0,2520,1926,42,6.620643523809524,1,,,,,0.5170928141312239,1.0,2.0,0.5,0.0,8.521952629089355,1.3679581880569458,0.018814412876963615,0.0,0.0,0.0,0.0
60.0,2580,1970,43,6.82355953488372,1,,,,,0.5174371429323591,1.0,2.0,0.5,0.0,4.553232192993164,1.3955373764038086,0.031485237181186676,0.0,0.0,0.0,0.0
60.0,2640,2016,44,6.777241386363635,1,6.693572998046875,0.07003435492515564,0.00042119689169339836,0.0104,0.5181481472723753,1.0,2.0,0.5,0.0,6.523413181304932,1.4524898529052734,0.13004659116268158,0.0,0.0,0.0,0.0
60.0,2700,2075,45,6.819830044444443,1,,,,,0.5057352735598866,0.0,1.0,0.5,0.0,3.147745132446289,0.458842009305954,0.03701931610703468,0.0,0.0,0.0,0.0
60.0,2760,2136,46,6.79607252173913,1,,,,,0.5065838115135632,1.0,2.0,0.5,0.0,130.386474609375,0.5267353653907776,0.0034700294490903616,0.0,0.0,0.0,0.0
60.0,2820,2194,47,6.6930828085106375,1,46.68587875366211,0.5229766368865967,9.48056040215306e-05,0.011200000000000002,0.5074816491103304,1.0,2.0,0.5,0.0,67.50277709960938,0.5985766053199768,0.13097447156906128,0.0,0.0,0.0,0.0
60.0,2880,2239,48,6.71310125,1,,,,,0.5085100560512497,1.0,2.0,0.5,0.0,70.95843505859375,0.6808702349662781,0.005861714016646147,0.0,0.0,0.0,0.0
60.0,2940,2287,49,6.67354006122449,1,,,,,0.5095167280829264,1.0,2.0,0.5,0.0,34.9091911315918,0.7614302039146423,0.010369986295700073,0.0,0.0,0.0,0.0
60.0,3000,2331,50,6.67417326,1,53.23056411743164,0.6393023133277893,0.0005355635075829923,0.012,0.5106806173885046,1.0,2.0,0.5,0.0,39.55184555053711,0.8545793890953064,0.00953050795942545,0.0,0.0,0.0,0.0
